first-launch: shell ≤2017.4 ms, usable ≤2754.5 ms
prepare warmup: shell ≤938.4 ms, usable ≤1136.0 ms
prepare-session warmup: shell ≤519.7 ms, usable ≤643.4 ms
warm-attach: shell ≤468.2 ms, usable ≤582.5 ms
warm-attach: shell ≤483.7 ms, usable ≤598.2 ms
warm-attach: shell ≤494.9 ms, usable ≤615.1 ms
warm-attach: shell ≤493.5 ms, usable ≤614.8 ms
warm-attach: shell ≤482.5 ms, usable ≤596.6 ms
warm-attach: shell ≤471.5 ms, usable ≤593.3 ms
warm-attach: shell ≤474.9 ms, usable ≤586.2 ms
warm-attach: shell ≤488.6 ms, usable ≤602.0 ms
warm-attach: shell ≤485.2 ms, usable ≤603.6 ms
warm-attach: shell ≤463.6 ms, usable ≤577.9 ms
warm-attach: shell ≤484.5 ms, usable ≤598.1 ms
warm-attach: shell ≤502.5 ms, usable ≤613.6 ms
warm-attach: shell ≤523.3 ms, usable ≤637.6 ms
warm-attach: shell ≤477.2 ms, usable ≤590.4 ms
warm-attach: shell ≤511.4 ms, usable ≤624.6 ms
warm-attach: shell ≤492.0 ms, usable ≤606.5 ms
warm-attach: shell ≤511.4 ms, usable ≤625.1 ms
warm-attach: shell ≤496.2 ms, usable ≤617.0 ms
warm-attach: shell ≤493.4 ms, usable ≤614.7 ms
warm-attach: shell ≤486.8 ms, usable ≤600.7 ms
warm-attach: shell ≤470.9 ms, usable ≤585.3 ms
warm-attach: shell ≤500.6 ms, usable ≤614.8 ms
warm-attach: shell ≤497.4 ms, usable ≤610.7 ms
warm-attach: shell ≤477.3 ms, usable ≤590.5 ms
warm-attach: shell ≤481.4 ms, usable ≤611.9 ms
warm-attach: shell ≤487.0 ms, usable ≤604.8 ms
warm-attach: shell ≤493.9 ms, usable ≤607.6 ms
warm-attach: shell ≤503.6 ms, usable ≤633.3 ms
warm-attach: shell ≤489.7 ms, usable ≤604.1 ms
warm-attach: shell ≤491.9 ms, usable ≤601.2 ms
retained-start: shell ≤479.1 ms, usable ≤677.2 ms
retained-start: shell ≤498.5 ms, usable ≤719.5 ms
retained-start: shell ≤486.1 ms, usable ≤700.5 ms
retained-start: shell ≤497.7 ms, usable ≤721.2 ms
retained-start: shell ≤484.7 ms, usable ≤673.6 ms
retained-start: shell ≤509.2 ms, usable ≤712.0 ms
retained-start: shell ≤520.9 ms, usable ≤718.7 ms
retained-start: shell ≤487.8 ms, usable ≤707.8 ms
retained-start: shell ≤490.2 ms, usable ≤712.3 ms
retained-start: shell ≤484.8 ms, usable ≤694.2 ms
retained-start: shell ≤481.0 ms, usable ≤703.2 ms
retained-start: shell ≤477.4 ms, usable ≤699.3 ms
retained-start: shell ≤508.2 ms, usable ≤704.5 ms
retained-start: shell ≤471.7 ms, usable ≤691.7 ms
retained-start: shell ≤501.0 ms, usable ≤716.9 ms
retained-start: shell ≤466.5 ms, usable ≤688.5 ms
retained-start: shell ≤499.4 ms, usable ≤721.9 ms
retained-start: shell ≤485.9 ms, usable ≤680.5 ms
retained-start: shell ≤500.5 ms, usable ≤715.3 ms
retained-start: shell ≤494.5 ms, usable ≤716.6 ms
retained-start: shell ≤489.8 ms, usable ≤712.4 ms
retained-start: shell ≤492.9 ms, usable ≤708.0 ms
retained-start: shell ≤493.1 ms, usable ≤716.2 ms
retained-start: shell ≤509.2 ms, usable ≤730.8 ms
retained-start: shell ≤529.2 ms, usable ≤762.7 ms
retained-start: shell ≤470.1 ms, usable ≤693.1 ms
retained-start: shell ≤492.8 ms, usable ≤706.9 ms
retained-start: shell ≤503.7 ms, usable ≤742.2 ms
retained-start: shell ≤489.8 ms, usable ≤711.8 ms
retained-start: shell ≤501.6 ms, usable ≤731.8 ms
Startup evidence: /Users/samheutmaker/Desktop/context-labs/src/rlm/whip/.ai-docs/plans/canonical-whipcode/evidence/packaged-startup.json
