id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,0.144202,0.144202,23.871834569,55.97937621999999,30024,1123,3994
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.150393,0.150393,37.545129933000005,69.58525937200001,33396,2703,14990
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,False,2.098882,,486.183160693,516.459770627,,,
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,17.272220,,,1908.953974344,,,
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,False,0.178770,,117.16209276699999,149.234250717,,,
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,False,0.291110,,94.424855151,125.22412674899999,,,
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,False,failed,completed,,True,False,10.260628,,1100.70498526,1203.71582081,,,
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,False,0.338705,,93.26170843699998,124.62261721299998,,,
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,False,0.805617,,163.09322646700002,203.46558367199998,,,
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,True,passed,completed,,True,False,4.223247,,798.8576707999999,861.7757513949999,,,
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,True,passed,completed,,True,False,6.696577,,795.4920659310001,825.04794436,,,
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,False,0.292427,,102.031515789,135.427620768,,,
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,False,0.563628,,244.00181650500002,275.310781108,,,
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,True,passed,completed,,True,False,3.547737,,623.1437102799999,694.9454791349999,,,
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.134329,0.134329,23.361994834,48.773895272000004,31117,1542,9974
