id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,model_calls,unknown_usage_calls,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,False,failed,completed,,True,True,0.180422,0.180422,36.950913251,67.776182409,6,0,39800,1825,9813
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.331234,0.331234,52.106840014,81.387148051,8,0,72014,2814,13863
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,1.587012,1.587012,240.060794697,269.09463771099996,36,0,554268,7896,267869
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,False,failed,agent_error,provider_error,True,False,24.446801,,2784.43081631,2881.658674839,220,1,20482978,99101,17273203
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.147854,0.147854,26.671491090000004,59.978909008,4,0,27013,1941,4291
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.225590,0.225590,77.89873863,110.415473068,7,0,36109,4337,8515
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,False,failed,completed,,True,True,32.956888,32.956888,2236.974007517,2339.307899807,289,0,30537551,94041,26315590
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.473343,0.473343,55.11610931,85.388333737,17,0,140594,2007,50492
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,True,0.746245,0.746245,80.055091807,110.213574216,19,0,224074,5202,93615
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,True,passed,completed,,True,True,6.374397,6.374397,742.903415222,800.948848558,94,0,3547720,44981,2617891
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,False,failed,completed,,True,True,2.015886,2.015886,213.927810118,245.69453515900003,37,0,623571,15156,279310
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,6.046269,6.046269,582.885650584,614.105800683,145,0,4524051,26529,3681218
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,True,0.223908,0.223908,80.63156903,113.203067032,4,0,18812,6189,0
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,True,passed,completed,,True,True,6.567720,6.567720,603.9975471609999,673.329482177,82,0,3653341,35837,2636712
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.138949,0.138949,23.620686294,49.567640361,5,0,30139,1282,6302
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,True,False,failed,completed,,True,True,9.499182,9.499182,696.775926635,778.536736273,103,0,6023587,35750,4546020
t0017,terminal-bench/dna-insert,candidate,1,harbor,True,False,failed,completed,,True,True,0.437539,0.437539,94.932248269,128.607138643,15,0,105939,5521,40349
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,True,False,failed,completed,,True,True,23.295770,23.295770,1551.289216547,1606.143527041,240,0,21431430,66747,18431502
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,True,True,passed,completed,,True,True,0.161713,0.161713,32.291798029999995,62.368894424000004,6,0,31610,1583,3988
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,True,False,failed,completed,,True,True,2.194535,2.194535,330.912147085,364.97726105500004,34,0,573587,21056,212439
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,True,True,passed,completed,,True,True,1.003383,1.003383,280.188160097,310.724156634,20,0,190519,15163,48180
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,True,True,passed,completed,,True,True,0.177168,0.177168,32.304556152,62.77745542299999,7,0,35724,1878,6382
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.136251,0.136251,27.160838222000002,57.572928024999996,6,0,28147,1115,3827
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,True,True,passed,completed,,True,True,0.601499,0.601499,113.276587205,140.18814574400002,16,0,150847,7355,59952
t0025,terminal-bench/extract-elf,candidate,1,harbor,True,False,failed,completed,,True,True,0.956686,0.956686,302.126208043,332.112802762,18,0,175492,17102,53785
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,True,False,failed,agent_error,provider_error,True,False,32.615822,,2761.405246893,2880.167246382,268,1,29173618,99302,24913549
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,1.100753,1.100753,198.82034116900002,230.496318532,24,0,296709,13536,133088
t0028,terminal-bench/code-from-image,candidate,1,harbor,True,False,failed,completed,,True,True,7.403312,7.403312,582.192868865,612.916340429,128,0,4743339,23744,3574324
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,True,True,passed,completed,,True,True,41.098248,41.098248,2655.7135904919996,2726.441346374,290,0,40084502,117519,35043534
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,True,True,passed,completed,,True,True,11.506146,11.506146,1567.9583817159998,1670.140738298,149,0,7789570,49590,6089571
t0031,datacurve/meriyah-explicit-resource-declarations,candidate,2,pier,True,False,failed,completed,,True,True,32.327410,32.327410,2344.812286685,2460.5800277890003,279,0,29328493,89883,25104520
t0032,terminal-bench/build-cython-ext,candidate,2,harbor,True,True,passed,completed,,True,True,2.292391,2.292391,318.486960245,349.374519174,48,0,944263,11092,544786
t0033,terminal-bench/log-summary-date-ranges,candidate,2,harbor,True,True,passed,completed,,True,True,0.147240,0.147240,27.961022562,61.171246387,6,0,36949,1272,11766
t0034,datacurve/httpx-multipart-response-parsing,candidate,2,pier,True,False,failed,completed,,True,True,45.982727,45.982727,2905.294685555,2969.243208835,418,0,50731689,124675,45707470
t0035,terminal-bench/code-from-image,candidate,2,harbor,True,False,failed,timeout,benchmark_deadline,True,True,7.782517,7.782517,1200.020161113,1233.6840918859998,103,0,4539126,36008,3321919
t0036,terminal-bench/kv-store-grpc,candidate,2,harbor,True,True,passed,completed,,True,True,0.187614,0.187614,41.834917824,71.977242782,8,0,44877,2004,14673
t0037,datacurve/expr-try-catch-errors,candidate,2,pier,True,False,failed,completed,,True,False,41.931740,,2731.149643565,2855.4601364540003,319,1,40960749,113087,35786722
t0038,terminal-bench/dna-insert,candidate,2,harbor,True,False,failed,completed,,True,True,1.741172,1.741172,273.53637635399997,309.524887639,33,0,483337,16267,197497
t0039,datacurve/fastapi-deprecation-response-headers,candidate,2,pier,True,True,passed,completed,,True,True,13.584679,13.584679,1172.67842345,1271.761892213,155,0,10113189,60919,8221090
t0040,terminal-bench/regex-log,candidate,2,harbor,True,True,passed,completed,,True,True,0.324820,0.324820,88.375372543,122.614473892,8,0,49927,6646,12195
