id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,model_calls,unknown_usage_calls,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,0.285891,0.285891,56.544764818999994,88.821656084,8,0,46996,3307,0
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.228268,0.228268,41.964067571,72.384898472,7,0,38836,2378,0
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,2.128362,2.128362,254.582622661,283.501736414,37,0,514746,10779,106304
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,,error,runner_error,agent_error,False,False,15.601587,,,1596.255737255,111,1,7449818,100835,4985537
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.191169,0.191169,42.041780548999995,75.179872519,4,0,26972,3102,0
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.534108,0.534108,168.870948539,199.864138804,12,0,74635,8811,0
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,False,failed,completed,,True,True,17.684336,17.684336,1776.060674132,1893.4729904740002,128,0,8661994,108304,5859637
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.643756,0.643756,63.79517002200001,94.393800731,16,0,129860,3560,5116
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,True,0.627487,0.627487,77.60432695899999,101.965693444,14,0,117363,4876,2558
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,False,failed,completed,,True,True,6.010838,6.010838,820.653742098,884.684034369,69,0,1910496,44872,887911
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,False,failed,timeout,benchmark_deadline,True,False,2.354981,,900.078285268,945.9027851999999,47,1,591274,14363,155293
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,0.207238,0.207238,61.075576100000006,98.426188993,5,0,24435,4784,2558
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,True,0.243276,0.243276,64.979087738,98.99232105,4,0,22061,6400,0
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,True,passed,completed,,True,True,6.180831,6.180831,596.611503988,672.081157007,54,0,1917676,29836,770381
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.134376,0.134376,20.347916721,47.976684713999994,4,0,23241,1324,0
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,True,False,failed,completed,,True,True,25.493140,25.493140,1979.3197544500001,2064.950110711,188,0,15237588,125822,11335082
t0017,terminal-bench/dna-insert,candidate,1,harbor,True,False,failed,completed,,True,True,0.539284,0.539284,71.56956326,113.005157821,13,0,100730,3822,0
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,True,True,passed,completed,,True,True,15.248793,15.248793,1389.586446706,1446.154908734,125,0,7770897,93820,5390433
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,True,True,passed,completed,,True,True,0.159986,0.159986,25.322873278999996,56.740723280000005,6,0,29277,1255,0
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,True,False,failed,completed,,True,True,3.377451,3.377451,471.131029919,503.26278866700005,28,0,743724,30855,163840
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,True,True,passed,timeout,benchmark_deadline,True,False,4.842660,,900.109013268,934.709673857,37,1,842981,73175,147458
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,True,True,passed,completed,,True,True,0.175195,0.175195,45.431797329999995,99.36639625299999,6,0,29887,1809,0
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.204555,0.204555,27.080542413,57.342334136000005,8,0,38636,1364,0
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,True,True,passed,completed,,True,True,0.641901,0.641901,86.985336262,130.21583877700002,14,0,114539,5621,0
t0025,terminal-bench/extract-elf,candidate,1,harbor,True,True,passed,completed,,True,True,0.608871,0.608871,143.471251239,173.440443954,10,0,81804,10700,0
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,True,False,failed,completed,,True,True,12.808075,12.808075,1129.555772213,1226.38769038,113,0,5767798,62386,3592777
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.228679,0.228679,34.248467332999994,67.175898413,7,0,39522,2259,0
t0028,terminal-bench/code-from-image,candidate,1,harbor,True,True,passed,completed,,True,True,0.556186,0.556186,82.69819784399999,113.612532274,15,0,98851,4949,0
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,True,False,failed,completed,,True,False,35.359073,,2827.615281802,2905.951224806,262,1,27349314,134687,22405781
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,True,False,failed,completed,,True,False,6.116187,,701.4418422470001,805.28088484,55,1,1719529,44187,645906
