id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,model_calls,unknown_usage_calls,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,0.333731,0.333731,38.589381237,71.184950663,9,0,59032,3026,0
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.279650,0.279650,41.618373504000004,74.005957599,7,0,42129,4003,0
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,2.726134,2.726134,279.00039952000003,307.71536771800004,50,0,1026043,15226,551523
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,False,failed,completed,,True,False,25.871257,,3093.275627657,3189.817680059,291,1,27100479,151571,24565772
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.193803,0.193803,44.72642715400001,77.98345074599999,4,0,26552,3303,0
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.311105,0.311105,45.35210273899999,75.583181055,8,0,45794,4668,0
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,False,failed,completed,,True,True,13.844894,13.844894,2183.677052534,2309.702278667,160,0,11490926,121564,10024576
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.659988,0.659988,52.328896709999995,82.380914014,15,0,132423,2848,0
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,True,1.436036,1.436036,96.467007998,125.41855843699999,25,0,409528,7846,144045
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,True,passed,completed,,True,True,5.509574,5.509574,875.290481518,935.3256868259999,76,0,2540211,78924,1900544
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,False,failed,completed,,True,True,0.909540,0.909540,150.139313789,183.25208759900002,17,0,156504,9123,0
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,0.341251,0.341251,96.469069025,127.014169573,7,0,34133,8340,0
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,True,0.416706,0.416706,119.602149043,154.82708304200003,5,0,31076,12305,0
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,True,passed,completed,,True,True,5.260517,5.260517,635.034538128,706.660841102,81,0,3242525,42573,2540437
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.134650,0.134650,17.130004748,43.795484184,4,0,24327,1119,0
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,True,False,failed,completed,,True,True,8.379260,8.379260,1062.669867057,1149.159095547,92,0,5327816,100160,4407296
t0017,terminal-bench/dna-insert,candidate,1,harbor,True,False,failed,completed,,True,True,0.424506,0.424506,47.354398828,93.99674429199999,11,0,76919,3483,0
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,True,False,failed,completed,,True,True,12.101442,12.101442,1070.4982512190002,1124.956981258,161,0,9572240,82738,8107485
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,True,True,passed,completed,,True,True,0.138758,0.138758,24.093908351999996,53.971791234,5,0,24030,1361,0
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,True,False,failed,completed,,True,True,4.022968,4.022968,433.487668921,461.35899961700005,63,0,1269819,73500,825924
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,True,True,passed,completed,,True,True,2.157279,2.157279,392.182289821,419.948473379,34,0,556857,35551,283577
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,True,True,passed,completed,,True,True,0.175664,0.175664,19.573702168,51.590034203,6,0,30736,1660,0
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.148457,0.148457,16.491545925,47.966297892,6,0,28180,962,0
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,True,True,passed,completed,,True,True,0.362712,0.362712,42.142349813,79.809738682,11,0,68022,2516,0
t0025,terminal-bench/extract-elf,candidate,1,harbor,True,False,failed,completed,,True,True,0.681127,0.681127,137.077154016,163.41117325300002,11,0,87916,12689,0
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,True,True,passed,completed,,True,True,7.692305,7.692305,802.426028803,918.781373751,121,0,5596850,35323,4515640
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.199437,0.199437,25.083363117,58.171414690000006,6,0,36084,1647,0
t0028,terminal-bench/code-from-image,candidate,1,harbor,True,True,passed,completed,,True,True,2.412583,2.412583,292.02720906300004,322.327842772,47,0,668467,23667,278528
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,True,False,failed,completed,,True,True,13.119085,13.119085,1569.2942393869998,1647.311025778,153,0,12374206,108577,11113060
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,True,True,passed,completed,,True,True,4.350239,4.350239,688.323619304,788.3510613689999,69,0,2242443,38564,1631722
t0031,datacurve/meriyah-explicit-resource-declarations,candidate,2,pier,True,False,failed,completed,,True,True,15.993813,15.993813,1869.6891643519998,1985.654915791,186,0,14370295,103272,12591661
t0032,terminal-bench/build-cython-ext,candidate,2,harbor,True,True,passed,completed,,True,True,1.493806,1.493806,226.011613617,259.093184704,26,0,317054,8368,29932
t0033,terminal-bench/log-summary-date-ranges,candidate,2,harbor,True,True,passed,completed,,True,True,0.250917,0.250917,35.786208963,65.77334154900001,6,0,46119,1928,0
t0034,datacurve/httpx-multipart-response-parsing,candidate,2,pier,True,False,failed,completed,,True,True,4.051929,4.051929,591.3758509840001,649.8186443220001,60,0,1810768,47171,1273555
t0035,terminal-bench/code-from-image,candidate,2,harbor,True,True,passed,completed,,True,True,4.929130,4.929130,771.860867469,803.837087785,71,0,1780533,70810,1154698
t0036,terminal-bench/kv-store-grpc,candidate,2,harbor,True,True,passed,completed,,True,True,0.136369,0.136369,25.188037336,59.415284187999994,5,0,24259,1209,0
t0037,datacurve/expr-try-catch-errors,candidate,2,pier,True,False,failed,completed,,True,True,18.409124,18.409124,3572.295628794,3669.5763160730003,179,0,15421485,219991,13811712
t0038,terminal-bench/dna-insert,candidate,2,harbor,True,False,failed,completed,,True,True,0.634480,0.634480,89.053021237,118.561637059,14,0,104505,7298,0
t0039,datacurve/fastapi-deprecation-response-headers,candidate,2,pier,True,True,passed,completed,,True,True,7.235979,7.235979,1198.953866468,1312.839229746,91,0,4041590,77814,3136303
t0040,terminal-bench/regex-log,candidate,2,harbor,True,True,passed,completed,,True,True,0.290220,0.290220,99.246743284,134.244791545,4,0,22233,8452,0
t0041,terminal-bench/modernize-scientific-stack,candidate,2,harbor,True,True,passed,completed,,True,True,0.132774,0.132774,18.476614864000002,40.331216694999995,4,0,23415,1218,0
t0042,terminal-bench/extract-elf,candidate,2,harbor,True,False,failed,completed,,True,True,1.628316,1.628316,325.094119782,352.08869830400005,24,0,313423,20193,58380
t0043,terminal-bench/chess-best-move,candidate,2,harbor,True,True,passed,completed,,True,True,1.232939,1.232939,281.727313416,312.127157465,24,0,279729,19495,114688
t0044,datacurve/arktype-json-schema-refs-dependencies,candidate,2,pier,True,False,failed,completed,,True,True,13.602650,13.602650,2052.2671709749998,2152.6719481140003,157,0,11904357,104473,10448809
t0045,datacurve/katex-multicolumn-array-spans,candidate,2,pier,True,False,failed,completed,,True,True,8.818901,8.818901,843.703204382,901.048183821,130,0,6397601,72594,5334252
t0046,terminal-bench/sanitize-git-repo,candidate,2,harbor,True,False,failed,completed,,True,True,0.698047,0.698047,58.597281446000004,87.18782623899999,14,0,132346,4555,0
t0047,terminal-bench/polyglot-c-py,candidate,2,harbor,True,False,failed,completed,,True,True,0.884245,0.884245,219.300422511,244.826773156,13,0,85293,22241,0
t0048,terminal-bench/multi-source-data-merger,candidate,2,harbor,True,,missing,interrupted,cloud_worker_incomplete,False,False,0.000000,,,,,,,,
t0049,terminal-bench/db-wal-recovery,candidate,2,harbor,True,True,passed,completed,,True,True,0.278677,0.278677,24.606547513,59.375137110999994,7,0,52183,1949,0
t0050,terminal-bench/constraints-scheduling,candidate,2,harbor,True,True,passed,completed,,True,True,0.197223,0.197223,32.796837892,67.57623651700001,4,0,26422,3481,0
