id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,model_calls,unknown_usage_calls,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,1.191960,1.191960,151.57195199,182.252201967,21,0,247875,9299,32768
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.210067,0.210067,32.761871931,62.373998255000004,6,0,32996,2737,0
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,2.315879,2.315879,409.774344382,441.642506216,43,0,794556,17744,409600
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,False,failed,completed,,True,True,27.824665,27.824665,4197.385032419001,4307.562464826,254,0,31823703,159696,29376612
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.156380,0.156380,43.553550319,75.803278691,4,0,21411,2668,0
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.725865,0.725865,153.793960935,185.055504556,11,0,89118,14437,0
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,False,failed,completed,,True,True,23.779051,23.779051,2911.276114366,3011.358664113,213,0,24594047,173303,22418168
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.529240,0.529240,49.257167810000006,81.402233025,14,0,102848,2952,0
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,True,0.807893,0.807893,85.402849941,115.629665406,14,0,158046,4297,0
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,True,passed,completed,,True,True,5.418840,5.418840,617.731702671,678.0961110960001,80,0,3549397,33011,2789192
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,False,failed,timeout,benchmark_deadline,True,True,5.567816,5.567816,900.153169863,931.709067807,91,0,3076949,57483,2363424
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,0.666575,0.666575,168.128630867,209.113288257,14,0,101777,9270,0
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,True,0.715275,0.715275,137.718588931,170.84003988100002,17,0,116479,8494,0
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,False,failed,completed,,True,True,3.212613,3.212613,433.775836138,500.16868361300004,52,0,1755981,24566,1294336
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.181180,0.181180,39.37830893,75.074090242,5,0,28337,2385,0
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,True,False,failed,completed,,True,True,4.790738,4.790738,631.5672000569999,714.626999747,74,0,3002790,37565,2362238
t0017,terminal-bench/dna-insert,candidate,1,harbor,True,False,failed,completed,,True,True,1.422909,1.422909,142.867394192,177.474876821,26,0,362464,11391,114688
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,True,False,failed,completed,,True,True,9.609256,9.609256,1135.9246463010002,1187.459150398,126,0,7474050,73575,6340608
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,True,True,passed,completed,,True,True,0.269544,0.269544,41.181202759,71.779000123,10,0,50278,1924,0
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,True,False,failed,completed,,True,True,2.615934,2.615934,381.729957393,412.79644408499996,46,0,1177339,28251,819200
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,True,True,passed,timeout,benchmark_deadline,True,False,4.817573,,900.04106597,938.031413194,71,1,2676621,63296,2136152
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,True,True,passed,completed,,True,True,0.240865,0.240865,39.726790234,72.61077283,9,0,42345,2236,0
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.269368,0.269368,34.800669259,73.266975223,8,0,47449,2482,0
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,True,True,passed,completed,,True,True,0.378406,0.378406,36.13548424,70.795912432,11,0,71285,2561,0
t0025,terminal-bench/extract-elf,candidate,1,harbor,True,True,passed,completed,,True,True,0.176096,0.176096,57.008646893999995,86.588631542,5,0,23027,3221,0
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,True,False,failed,completed,,True,True,13.474167,13.474167,1388.5196098019999,1509.836598705,165,0,12680515,75299,11180849
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.264801,0.264801,49.927373382,92.20343110499999,8,0,43734,3022,0
t0028,terminal-bench/code-from-image,candidate,1,harbor,True,True,passed,completed,,True,True,2.192713,2.192713,218.006454377,256.70794269,41,0,747590,15765,376832
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,True,True,passed,completed,,True,True,13.294653,13.294653,1370.806294562,1443.4200725899998,152,0,12871470,71715,11417438
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,True,True,passed,completed,,True,True,5.825442,5.825442,876.443402832,982.257723053,75,0,3010319,69720,2293760
