id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,model_calls,unknown_usage_calls,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,0.247614,0.247614,22.384551885,62.998149340999994,6,0,45640,1877,0
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.196764,0.196764,44.603557719,94.395182171,6,0,30470,2651,0
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,1.219901,1.219901,181.314851702,212.277312685,30,0,399607,6379,178240
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,4.035425,,,622.217900107,59,1,2619127,30064,2080768
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.166992,0.166992,27.992505752000003,60.573267468,4,0,23834,2655,0
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.196269,0.196269,40.774492278,81.795834136,7,0,31065,2510,0
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,1.589113,,,594.87446878,24,1,491330,28394,311296
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.455619,0.455619,54.535505025999996,87.6174966,13,0,88673,2515,0
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,True,0.655147,0.655147,72.41855248299998,109.420374368,12,0,138693,4328,16384
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,3.896491,,,614.057782488,69,2,1949427,28261,1360947
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,,error,cancelled,user_cancelled,False,False,1.895891,,,677.911634905,35,0,513520,22845,229376
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,0.962964,0.962964,238.961188489,272.749464506,17,0,134456,15907,0
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,True,0.245751,0.245751,90.719303443,126.62091431399999,5,0,25021,5918,0
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,4.134861,,,622.036708309,60,1,2318544,29719,1720320
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.138826,0.138826,28.727626357,54.369677249999995,4,0,23000,1570,0
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,4.088579,,,609.501722843,56,1,2515830,45157,2036719
t0017,terminal-bench/dna-insert,candidate,1,harbor,True,False,failed,completed,,True,False,0.820935,,129.15164431399998,164.47096975099998,17,1,160842,6788,13726
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,4.585692,,,607.747746227,69,1,2170147,46534,1537536
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,True,True,passed,completed,,True,True,0.328094,0.328094,51.674683975,85.629898054,12,0,62179,2146,0
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,True,,error,cancelled,user_cancelled,False,False,1.517831,,,682.37376763,37,1,561734,11145,311296
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,True,True,passed,completed,,True,True,1.435834,1.435834,381.544857487,411.80739716,20,0,236059,22623,33446
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,True,True,passed,completed,,True,True,0.125109,0.125109,26.061396077,51.137151126,5,0,21572,1246,0
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.206542,0.206542,24.880505766999995,60.00735234300001,8,0,37313,1717,0
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,True,True,passed,completed,,True,True,0.611603,0.611603,54.97848798,95.193825651,12,0,111581,4866,0
t0025,terminal-bench/extract-elf,candidate,1,harbor,True,False,failed,completed,,True,True,0.437033,0.437033,66.5703624,95.99787404,8,0,65603,6303,0
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,4.443743,,,605.326879955,67,0,2572763,27993,1916928
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.171352,0.171352,29.472342915,60.996758740999994,6,0,31198,1376,0
t0028,terminal-bench/code-from-image,candidate,1,harbor,True,True,passed,completed,,True,True,2.216582,2.216582,351.060684608,381.16909190900003,39,0,658467,26350,330720
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,4.991777,,,615.749529306,72,1,3664816,28581,2998272
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,3.497036,,,616.834632597,51,1,1224420,44973,746856
