id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,input_tokens,output_tokens,cache_tokens
t0001,fixture/harbor-shared,candidate,1,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.483777237,94.392829306,500,150,0
t0002,fixture/pier-separate,candidate,1,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.429830116,117.741001829,500,150,0
t0003,fixture/pier-separate,candidate,2,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.420820182,119.143251891,500,150,0
t0004,fixture/harbor-shared,candidate,2,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.449171811,95.80014136,500,150,0
t0005,fixture/pier-separate,candidate,3,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.15961182999999,112.80337923299999,500,150,0
t0006,fixture/harbor-shared,candidate,3,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.150969166,89.74091936100001,500,150,0
t0007,fixture/harbor-shared,candidate,4,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.525507409,95.00100473,500,150,0
t0008,fixture/pier-separate,candidate,4,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.400008443,117.806846289,500,150,0
t0009,fixture/harbor-shared,candidate,5,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.420523169,93.59002102299999,500,150,0
t0010,fixture/pier-separate,candidate,5,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.419355791,115.36378141899999,500,150,0
t0011,fixture/harbor-shared,candidate,6,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.428255794,94.1932321,500,150,0
t0012,fixture/pier-separate,candidate,6,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.270641982,114.66392625400002,500,150,0
t0013,fixture/pier-separate,candidate,7,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.408863052,116.146170068,500,150,0
t0014,fixture/harbor-shared,candidate,7,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.13595090199999,91.756160982,500,150,0
t0015,fixture/pier-separate,candidate,8,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.460585669,119.03372830499998,500,150,0
t0016,fixture/harbor-shared,candidate,8,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.34141919599999,93.794865839,500,150,0
t0017,fixture/pier-separate,candidate,9,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.469194636,120.36013657999999,500,150,0
t0018,fixture/harbor-shared,candidate,9,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.44590604000001,96.393019741,500,150,0
t0019,fixture/pier-separate,candidate,10,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.06246108900001,113.41033303799999,500,150,0
t0020,fixture/harbor-shared,candidate,10,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.47374873800001,93.592874173,500,150,0
t0021,fixture/pier-separate,candidate,11,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.424308018,118.15883114100001,500,150,0
t0022,fixture/harbor-shared,candidate,11,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.760918353,97.64849736800001,500,150,0
t0023,fixture/harbor-shared,candidate,12,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.434494122,93.791371072,500,150,0
t0024,fixture/pier-separate,candidate,12,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.503393103,116.55573420500001,500,150,0
t0025,fixture/harbor-shared,candidate,13,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.451789956,93.995030692,500,150,0
t0026,fixture/pier-separate,candidate,13,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.71405726399999,116.90269500100001,500,150,0
t0027,fixture/pier-separate,candidate,14,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.424790008,119.16265463599998,500,150,0
t0028,fixture/harbor-shared,candidate,14,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.399904264,94.19277268299999,500,150,0
t0029,fixture/harbor-shared,candidate,15,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.692990384,95.210117803,500,150,0
t0030,fixture/pier-separate,candidate,15,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.41933327800001,119.967260378,500,150,0
t0031,fixture/harbor-shared,candidate,16,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.21114906700001,90.962001441,500,150,0
t0032,fixture/pier-separate,candidate,16,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.422153882,116.511479066,500,150,0
t0033,fixture/pier-separate,candidate,17,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.497760685,121.585792634,500,150,0
t0034,fixture/harbor-shared,candidate,17,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.457260046,93.992869281,500,150,0
t0035,fixture/harbor-shared,candidate,18,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.233154348,90.764895658,500,150,0
t0036,fixture/pier-separate,candidate,18,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.432559933,122.57784882499999,500,150,0
t0037,fixture/pier-separate,candidate,19,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.405816578,118.534614844,500,150,0
t0038,fixture/harbor-shared,candidate,19,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.462355744,97.001319295,500,150,0
t0039,fixture/pier-separate,candidate,20,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.42429473199999,116.980947248,500,150,0
t0040,fixture/harbor-shared,candidate,20,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.414681574,93.990483729,500,150,0
t0041,fixture/harbor-shared,candidate,21,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.454948753,95.394567233,500,150,0
t0042,fixture/pier-separate,candidate,21,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.571923114,116.54944039,500,150,0
t0043,fixture/harbor-shared,candidate,22,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.496286535,94.9964616,500,150,0
t0044,fixture/pier-separate,candidate,22,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.863636715,118.66938793599999,500,150,0
t0045,fixture/pier-separate,candidate,23,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.269124657,115.232530709,500,150,0
t0046,fixture/harbor-shared,candidate,23,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.446571679,94.18990542099999,500,150,0
t0047,fixture/harbor-shared,candidate,24,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.676595535,95.004578053,500,150,0
t0048,fixture/pier-separate,candidate,24,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.08171159400001,111.781483472,500,150,0
t0049,fixture/harbor-shared,candidate,25,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.891795672,95.81395121300001,500,150,0
t0050,fixture/pier-separate,candidate,25,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.327879738,118.761100078,500,150,0
t0051,fixture/pier-separate,candidate,26,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.476634481,119.39471830200002,500,150,0
t0052,fixture/harbor-shared,candidate,26,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.502184311,94.99758755699999,500,150,0
t0053,fixture/harbor-shared,candidate,27,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.77271346399999,95.42418709700002,500,150,0
t0054,fixture/pier-separate,candidate,27,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.805517153,120.4296182,500,150,0
t0055,fixture/harbor-shared,candidate,28,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.427749255,93.591009364,500,150,0
t0056,fixture/pier-separate,candidate,28,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.432680368,121.16610828200001,500,150,0
t0057,fixture/harbor-shared,candidate,29,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.47953199700001,93.996866812,500,150,0
t0058,fixture/pier-separate,candidate,29,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.459929469,116.72644184500001,500,150,0
t0059,fixture/pier-separate,candidate,30,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.420668339,118.076399066,500,150,0
t0060,fixture/harbor-shared,candidate,30,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,78.11593038499998,197.77994949,500,150,0
t0061,fixture/pier-separate,candidate,31,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.888408267,119.179843481,500,150,0
t0062,fixture/harbor-shared,candidate,31,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.392614084,94.798331587,500,150,0
t0063,fixture/harbor-shared,candidate,32,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.465211764,94.992812566,500,150,0
t0064,fixture/pier-separate,candidate,32,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.924882704,120.187713338,500,150,0
t0065,fixture/harbor-shared,candidate,33,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.467378595,94.192419023,500,150,0
t0066,fixture/pier-separate,candidate,33,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.50895154599999,118.83558102599999,500,150,0
t0067,fixture/harbor-shared,candidate,34,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.434409742,93.99463584200001,500,150,0
t0068,fixture/pier-separate,candidate,34,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.160988212,115.35243242600001,500,150,0
t0069,fixture/pier-separate,candidate,35,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.450546662,118.76253296899999,500,150,0
t0070,fixture/harbor-shared,candidate,35,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.523675446,96.814596466,500,150,0
t0071,fixture/pier-separate,candidate,36,pier,True,True,passed,completed,,True,True,0.000000,0.000000,64.499407109,119.798826523,500,150,0
t0072,fixture/harbor-shared,candidate,36,harbor,True,True,passed,completed,,True,True,0.000000,0.000000,64.450504043,93.791666362,500,150,0
