id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,0.127945,0.127945,59.727744369767606,99.52983281528577,70630,3382,61412
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.100155,0.100155,55.31199370697141,90.0111750238575,41012,2810,33094
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,0.706958,0.706958,282.6296707801521,318.4599209013395,908969,11167,874534
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,True,passed,completed,,True,True,39.692264,39.692264,4126.447618297301,4226.56625272613,84579047,130701,83657205
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.106217,0.106217,55.685654012952,238.5922178933397,27147,3281,18586
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.189742,0.189742,127.99379849806428,165.56182068167254,35641,7581,28492
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,True,passed,completed,,True,True,18.028870,18.028870,2711.2721854341216,2817.9480701829307,34613619,131141,34166662
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.132625,0.132625,49.71858796896413,86.71453064633533,116677,1744,102194
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,True,0.296302,0.296302,123.58198046684265,157.14551074197516,261481,6265,242424
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,True,passed,completed,,True,True,5.075815,5.075815,972.0935765448958,1025.0765342470258,8759944,43819,8561591
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,False,failed,timeout,benchmark_deadline,True,True,0.535395,0.535395,900.22216823278,1055.156795910094,787882,6372,761388
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,0.296861,0.296861,191.86147170607,404.7039387449622,31237,13090,24144
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,True,0.228050,0.228050,121.75600330205634,316.42349760234356,20156,10070,14353
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,False,failed,completed,,True,True,2.386270,2.386270,595.5952320070937,659.0081941708922,3113231,32339,2972208
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.117637,0.117637,57.813286763615906,86.52576947584748,46291,3061,35443
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,True,False,failed,completed,,True,True,4.155453,4.155453,923.5082515659742,1006.7652177913114,6467039,45796,6280609
t0017,terminal-bench/dna-insert,candidate,1,harbor,True,True,passed,completed,,True,True,0.532758,0.532758,220.97403095057234,490.5348025318235,443727,10124,400122
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,True,False,failed,completed,,True,True,14.102221,14.102221,1913.9026279449463,1959.1405575932004,28529241,70290,28163425
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,True,True,passed,completed,,True,True,0.076663,0.076663,57.99070962425321,95.71965600503609,45637,1829,39386
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,True,False,failed,completed,,True,True,0.770464,0.770464,322.9243932282552,361.4408013052307,781906,16850,746961
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,True,False,failed,timeout,benchmark_deadline,True,False,2.875387,,900.2643477041274,938.8008858999237,,,
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,True,True,passed,completed,,True,True,0.077515,0.077515,39.16172977723181,77.11935976007953,30347,2153,23940
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.090566,0.090566,35.97828065464273,349.6672656019218,35207,1681,23039
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,True,False,failed,completed,,True,True,0.303146,0.303146,99.11800856469199,249.20401300908998,145986,6887,115456
t0025,terminal-bench/extract-elf,candidate,1,harbor,True,False,failed,completed,,True,True,0.493279,0.493279,299.15817139297724,516.5987679911777,107593,20351,94273
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,True,False,failed,completed,,True,True,9.545839,9.545839,1550.960934814997,1654.0007034651935,18375461,55577,18066976
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.097391,0.097391,46.54929968342185,226.99737254204229,46284,2392,37407
t0028,terminal-bench/code-from-image,candidate,1,harbor,True,False,failed,timeout,benchmark_deadline,True,False,6.967876,,1200.1457906779833,1238.7788215382025,,,
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,True,True,passed,completed,,True,True,11.218102,11.218102,1605.6736899050884,1680.517951042857,21998638,69053,21702500
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,True,True,passed,completed,,True,True,5.253579,5.253579,1112.3565882733092,1207.9359428449534,8591480,52569,8372874
