id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,0.114185,0.114185,36.97688772063702,76.39347042422742,38846,2127,22922
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.194149,0.194149,60.43005029577762,95.32212556293234,42029,5244,21324
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,0.717644,0.717644,354.2017966802232,390.4812185941264,805169,10971,754936
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,9.230250,,,1304.831335876137,,,
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.230239,0.230239,107.44963379902765,179.16688930103555,96116,6290,77174
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.119621,0.119621,56.858715443406254,94.92524088127539,46288,2318,30737
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,5.613500,,,1126.8283039419912,,,
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.202444,0.202444,77.69279525289312,114.93536155018955,186126,3511,169657
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,False,failed,completed,,True,True,0.248944,0.248944,100.73269404610619,134.7439970341511,221770,5039,204741
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,False,failed,agent_error,agent_error,True,False,3.269435,,818.6583839948289,874.4576777936891,,,
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,True,passed,completed,,True,True,0.563474,0.563474,435.7644753330387,477.7284003449604,659666,9893,630453
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,0.231175,0.231175,131.7734254570678,171.36650555068627,43813,7682,26477
t0013,terminal-bench/regex-log,candidate,1,harbor,True,,error,cancelled,user_cancelled,False,False,0.000000,,,148.29839637922123,,,
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,,error,cancelled,user_cancelled,False,False,0.031598,,,51.943487441167235,,,
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0017,terminal-bench/dna-insert,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0025,terminal-bench/extract-elf,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0028,terminal-bench/code-from-image,candidate,1,harbor,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,False,,missing,cancelled,user_cancelled,False,False,0.000000,,,,,,
