id,task_id,candidate_id,repetition,runner,started,success,grader_status,execution_status,termination_source,evidence_complete,accounting_complete,known_cost_usd,cost_usd,agent_seconds,trial_seconds,input_tokens,output_tokens,cache_tokens
t0001,terminal-bench/log-summary-date-ranges,candidate,1,harbor,True,True,passed,completed,,True,True,0.096581,0.096581,42.02496808813885,81.41197175113484,56477,1992,46746
t0002,terminal-bench/multi-source-data-merger,candidate,1,harbor,True,True,passed,completed,,True,True,0.115979,0.115979,66.25604213029146,101.33401061501354,28886,3922,21346
t0003,terminal-bench/build-cython-ext,candidate,1,harbor,True,True,passed,completed,,True,True,0.965344,0.965344,495.02440761215985,530.7599127916619,1384739,13041,1341581
t0004,datacurve/expr-try-catch-errors,candidate,1,pier,True,True,passed,completed,,True,True,8.689488,8.689488,1626.73438026011,1727.5440959250554,15980683,85318,15809460
t0005,terminal-bench/constraints-scheduling,candidate,1,harbor,True,True,passed,completed,,True,True,0.136054,0.136054,63.73441356094554,105.73231327300891,70557,3472,59548
t0006,terminal-bench/sqlite-db-truncate,candidate,1,harbor,True,True,passed,completed,,True,True,0.145808,0.145808,77.22383318701759,115.33377211168408,76628,3966,66311
t0007,datacurve/arktype-json-schema-refs-dependencies,candidate,1,pier,True,False,failed,completed,,True,True,11.446712,11.446712,2267.657115736045,2374.3390034749173,21545925,90449,21253717
t0008,terminal-bench/vulnerable-secret,candidate,1,harbor,True,True,passed,completed,,True,True,0.153944,0.153944,56.62914808373898,93.73239129269496,151320,2232,137457
t0009,terminal-bench/sanitize-git-repo,candidate,1,harbor,True,True,passed,completed,,True,True,1.036624,1.036624,300.92660555802286,334.85634935088456,1577396,13233,1536940
t0010,datacurve/httpx-multipart-response-parsing,candidate,1,pier,True,False,failed,completed,,True,True,3.050024,3.050024,1017.6677114660852,1075.9135888773017,3603506,55931,3462338
t0011,terminal-bench/chess-best-move,candidate,1,harbor,True,False,failed,timeout,benchmark_deadline,True,True,1.887785,1.887785,900.0705535109155,937.1810305276886,3076148,23058,3019604
t0012,terminal-bench/polyglot-c-py,candidate,1,harbor,True,False,failed,completed,,True,True,0.281547,0.281547,126.38403861876577,173.66772957285866,102745,9371,87281
t0013,terminal-bench/regex-log,candidate,1,harbor,True,True,passed,completed,,True,True,0.430975,0.430975,217.95842434186488,259.8215715889819,39214,18886,27568
t0014,datacurve/anko-typed-variable-bindings,candidate,1,pier,True,False,failed,completed,,True,True,2.553204,2.553204,561.2053876258433,626.6440309346654,4239873,28025,4154713
t0015,terminal-bench/modernize-scientific-stack,candidate,1,harbor,True,True,passed,completed,,True,True,0.128698,0.128698,61.900669950060546,89.72174559207633,58599,3573,48878
t0016,datacurve/scc-bounded-memory-spilling,candidate,1,pier,True,False,failed,completed,,True,True,12.366995,12.366995,1812.6773411068134,1897.4532378348522,25119961,83025,24929819
t0017,terminal-bench/dna-insert,candidate,1,harbor,True,False,failed,completed,,True,True,0.193670,0.193670,100.25190141890198,144.34653840214014,115688,5338,103943
t0018,datacurve/katex-multicolumn-array-spans,candidate,1,pier,True,False,failed,agent_error,agent_error,True,False,0.119138,,89.0963170370087,133.3535692729056,,,
t0019,terminal-bench/kv-store-grpc,candidate,1,harbor,True,True,passed,completed,,True,True,0.090312,0.090312,41.92981043411419,80.31388016184792,59729,2110,52789
t0020,terminal-bench/gcode-to-text,candidate,1,harbor,True,False,failed,completed,,True,True,0.982928,0.982928,365.5830427920446,403.5644129831344,1229245,17828,1190313
t0021,terminal-bench/largest-eigenval,candidate,1,harbor,True,False,failed,timeout,benchmark_deadline,True,False,2.268834,,900.0073320320807,939.3838748438284,,,
t0022,terminal-bench/openssl-selfsigned-cert,candidate,1,harbor,True,True,passed,completed,,True,True,0.085226,0.085226,47.852276945021,85.91567934304476,41130,2246,34285
t0023,terminal-bench/git-leak-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.069137,0.069137,33.43296637199819,309.8360926848836,36513,1578,29954
t0024,terminal-bench/merge-diff-arc-agi-task,candidate,1,harbor,True,True,passed,completed,,True,True,0.138351,0.138351,49.94764270493761,432.4950597579591,107462,2716,95748
t0025,terminal-bench/extract-elf,candidate,1,harbor,True,True,passed,completed,,True,True,0.294940,0.294940,137.78663894580677,406.30762384599075,179871,8581,164919
t0026,datacurve/meriyah-explicit-resource-declarations,candidate,1,pier,True,False,failed,completed,,True,True,11.682959,11.682959,2174.5404938156717,2281.563697330188,23104064,64683,22777167
t0027,terminal-bench/db-wal-recovery,candidate,1,harbor,True,True,passed,completed,,True,True,0.237117,0.237117,106.7072475659661,405.32841464318335,171845,6115,158523
t0028,terminal-bench/code-from-image,candidate,1,harbor,True,True,passed,completed,,True,True,1.005374,1.005374,286.4458595230244,324.25609567714855,1363123,14549,1314663
t0029,datacurve/python-statemachine-state-data-scoping,candidate,1,pier,True,True,passed,completed,,True,True,14.362594,14.362594,2420.878284583334,2494.826547782868,28789107,90454,28491688
t0030,datacurve/fastapi-deprecation-response-headers,candidate,1,pier,True,True,passed,completed,,True,True,4.603097,4.603097,1140.2744133598171,1234.551214557141,7712896,40954,7513746
